Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
07/31/23,"Payday loan, title loan, or personal loan",Payday loan,Charged fees or interest you didn't expect,None,"Today I contacted the loan company and asked why I was still being charged for this loan of {$2700.00} I was then informed of the outrageous interest rate of 503 %. Said there isn't anything they can do to help me. 

If I was to continue making payments on this small loan, I would pay out more than XXXX. 

I did NOT understand this and feel very deceived. I can't pay this back at the terms listed.",None,"LDF Holdings, LLC",WA,98008,None,Consent provided,Web,07/31/23,Closed with explanation,Yes,N/A,7331355
08/18/23,"Payday loan, title loan, or personal loan",Payday loan,Struggling to pay your loan,None,"Hello. I borrowed {$200.00} from MaxLend account # XXXX. I have paid back {$280.00}, which is 70.75 % interest. 

Yes, I was desperate at the time and really needed the help, but in the USA, loans above 24 % interest are considered predatory and is usury. I apparently have like 10 payments left. 

They have you sign an agreement@ 685.40 % interest, so that I would be responsible to pay {$1000.00} for a small {$200.00} loan. This is ludicrous to say the least. 

I had the same situation with a company called XXXX, but they understood that they were being predatory and lowered my loan to a reasonable amount. I've called MaxLend twice concerning this... The 1st time I had to get a call back from a supervisor. My phone recognizes them as spam so I didn't receive those calls, the 2nd call was today, I was put on hold for over 25 minutes... I had get back to work. 

This is going to make me have to rearrange my banking situation which will be a hassle. But I can not justify paying another dime to MaxLend for such a small loan. 

Also the immediate payoff at this point would be an additional {$240.00} totaling {$530.00} which would be a interest rate of 265.55500 % which is 241.555 % over the USA predatory lending limit.",None,"Uetsa Tsakits, Inc. d/b/a MaxLend",OH,45431,None,Consent provided,Web,08/18/23,Closed with explanation,No,N/A,7422894
06/16/23,"Payday loan, title loan, or personal loan",Payday loan,Charged fees or interest you didn't expect,None,"The company name is Cashcall , Inc who is client of XXXX XXXX, XXXX who client of XXXX XXXX XXXX, XXXX at XXXX XXXX XXXX XXXX, # XXXX, XXXX XXXX, CA XXXX. I had a judgment placed on my bank account by XXXX XXXX XXXX for a loan in year XXXX. Cashcall has major lawsuits for bad loan practices where they had an injunction to not pursue their clients due to high interest rates. The loan I obtained in XXXX  was for {$2600.00} currently they want me to repay {$8400.00} which per injunction this is illegal. They have the offices stated above that took all my money through a levi on my account. Injunction from Superior Court of California case # XXXX",Company believes complaint caused principally by actions of third party outside the control or direction of the company,"CASHCALL, INC.",CA,90032,None,Consent provided,Web,06/16/23,Closed with explanation,Yes,N/A,7129215
07/11/23,"Payday loan, title loan, or personal loan",Payday loan,Charged fees or interest you didn't expect,None,I was charged money for something I no longer even have. I deleted the app before I did anything and was charged XXXX dollars over a month later. I dont even have it anymore and never signed up for anything,Company believes the complaint provided an opportunity to answer consumer's questions,Albert Corporation,PA,15239,None,Consent provided,Web,07/11/23,Closed with explanation,Yes,N/A,7235304
04/27/23,"Payday loan, title loan, or personal loan",Installment loan,Problem with the payoff process at the end of the loan,None,"I received a CD secured loan with US Bank. They failed to match the loan maturity with the CD on purpose as when I tried to refinance to do so, I contacted 5 branches of the bank and each one stated after not knowing what a loan officer was that I would have to break the CD to refinance or get a new loan matching the original CD maturity. On a {$250000.00} loan secured by this a CD of equal amount, one branch said all they could loan me is {$100000.00} but I would have to break the CD before maturity to do the loan documentation. The next branch said that yes they could loan me the full amount of the CD but again I would have to break the CD and place in a new CD for a new CD number to be used in the loan processing. In all cituations, the plan is to steal the interest accumulated on the original CD with an early withdrawl penalty!!!!!!!! US Bank has been doing things like this for a long time and cost us on this transaction by having to finance with another Bank {$3500.00}. This is real money to me. US bank needs to be stopped. They need to hire people with financial degrees or education not form fillers who don't know what a loan officer is. After I did not accept the loan terms they suggested they sent letters of declination based on income with the one loan when I was never asked about income in our application or request. The other loan denile stated simular ridiculous and fabricated terms for denile. By the way the CD that was securing the debt had accumulated interest well over any payoff of the loan. How would I not have the income to pay if off. I think they should be penalized for the loss I have incurred and money given to me not the office of the comtroller or federal reserve.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. BANCORP,MT,595XX,Servicemember,Consent provided,Web,04/27/23,Closed with explanation,Yes,N/A,6891685
04/13/23,"Payday loan, title loan, or personal loan",Personal line of credit,Charged fees or interest you didn't expect,None,"I signed up for Kovo Credit Builder because of their association with the app XXXX  which promises to give a {$20.00} payment if you open an account with Kovo and make 2 months of on-time payments for {$20.00} to your credit builder loan. All of this seemed fine with me so I signed up with Kovo and successfully made my two months of payments for {$20.00}, but afterwards did not really see the benefit in keeping the account open, so I wrote Kovo Customer Service and asked to have my account closed and my {$40.00} back. The customer service representative emailed back saying that they had closed my account but my {$40.00} would not be refunded because they have a 30 day money back policy and my request came after 30 days. I dont understand how this happened? If there was a stipulation like that I was not allowed to reverse my decision to close the account or even told that if I did I would be forced to lose the money I had already paid. Why would a company take your money and not even tell you if you were at risk of losing it if you decided to stop their service? What if I had put in {$100.00}? Isnt the whole point of credit builder loans to be loans that you pay in advance and then have a line of credit that you have already paid for? Why do they get to keep any money that is my money? I smell a scam!",None,Kovo,WA,98597,None,Consent provided,Web,04/13/23,Closed with explanation,Yes,N/A,6835131
03/01/23,"Payday loan, title loan, or personal loan",Installment loan,Charged fees or interest you didn't expect,None,"The website XXXX  offers XXXX  % interest option for payment. You are told to check out with Affirm and the option will be shown. I spoke with XXXX  and they said I should contact Affirm who is offering the financing. I spoke with Affirm and they said I should speak with XXXX. I completed my purchase and chose an 18 month term but at XXXX  % interest. I then contacted Affirm they said I was approved but that option was not available to me. 
This is misleading and fraudulent use of my credit information. No where does it say subject to credit qualification.",None,"Affirm Holdings, Inc",TX,77083,None,Consent provided,Web,03/01/23,Closed with explanation,Yes,N/A,6635174
06/15/23,"Payday loan, title loan, or personal loan",Personal line of credit,Problem when making payments,None,"On XX/XX/2023 I contacted Affirm to update my phone number and email address. I first attempted to use the chat option to reach a XXXX agent but was unable to get past the automated chat bot. Next I tried to call a XXXX agent at XXXX ( XXXX ) XXXX and after talking with an agent for 29 minutes was disconnected after requesting a supervisor to assist me as I could not understand what the XXXX agent was saying due to their accent. Lastly, I tried to reach out again to a XXXX agent via chat, but was unable to move past the automated chat bot to speak to a live agent. My phone number or email has not been updated.",None,"Affirm Holdings, Inc",AZ,85014,None,Consent provided,Web,06/15/23,Closed with explanation,Yes,N/A,7119553
08/04/23,"Payday loan, title loan, or personal loan",Installment loan,Charged fees or interest you didn't expect,None,"Fifth-Third bank owns Dividend Finance. Dividend Finance is using fraudulent forged documents to pursue money from me and my wife. They illegally drafted money from my checking account. I never authorized anything with them. In XXXX of XXXX  my XXXX veteran wife and I applied for a solar loan with a representative in our home, on our WiFi. We never used his laptop. Neither my wife, XXXX XXXX, or myself ever saw any loan information or agreed to any loan terms. It was strictly to apply. We had no reason to believe this person was lying to us and trying to defraud us. My wife did not sign the loan XXXX, I did not sign the loan XXXX. The only person filling out the loan information was the sales representative. My wife made Dividend aware as soon as she found out fraud had occurred. It was never investigated, Dividend used the forged documents to state the loan was valid and an excuse of "" answered questions ''. I was there, he did ask us questions and we both answered we thought it was part of the loan verification since both of our credits were supposed to be frozen. It turns out that my wife 's XXXX file only was not frozen due to XXXX error which she is dealing with. That is why it does not appear on all three credit bureaus or on my credit report because the sales representative took both of our information and we honestly did not even know until later about it not having both of our names. We were defrauded. Dividend Finance was informed and has not completed a fraud investigation.",None,FIFTH THIRD FINANCIAL CORPORATION,FL,32606,Servicemember,Consent provided,Web,08/04/23,Closed with explanation,Yes,N/A,7353254
04/26/23,"Payday loan, title loan, or personal loan",Personal line of credit,Charged fees or interest you didn't expect,None,"I am XXXX XXXX XXXX. About 10 years ago, I was approached about getting {$10000.00} for a personal loan from One Main Financial in XXXX XXXX, Ca. A lot of my older friends at the cafe was approached. I have a balance of over {$6400.00} which has taken me years upon years to get to this balance. My daughter told me this is considered a predatory loan that sometimes older people who dont know any better are approached to get. They asked me to bring in my wifes information ; retirement statement, income but said she did not have to sign anything. My daughter who is now speaking on my behalf approached them to resolve and forgive the balance of the loan but they will not. I am reporting them to you and would like this off my credit report. I do t have long on this earth and I do not want my children and wife to suffer for my missteps in getting involved with a predatory loan. I appreciate you help.",None,OneMain Finance Corporation,CA,94603,"Older American, Servicemember",Consent provided,Web,04/26/23,Closed with explanation,Yes,N/A,6893132
06/09/23,"Payday loan, title loan, or personal loan",Installment loan,Getting the loan,None,I applied for a loan with upgrade and I was sent an email stating that the loan was ready to be processed and the money was ready to be sent. I later received another email ( twice ) requesting that I send a photo of myself to them which I thought was strange since I am XXXX XXXX. And after sending the photo of myself I then had to call them for verification after Ive already been notified that the funds were ready to go. I then received another email stating that in order to get the loan I would have to join their credit union. These were just unnecessary steps to discourage the process. Upgrade was just looking for any reason they could find not to approve the loan. The discrimination is clear I was told the funds were ready to go. Then I was required to submit a photo of myself and after submitting the photo I was then denied. Which is credit discrimination. I knew I more than qualified based on what Upgrade advertised.,None,"UPGRADE, INC.",IL,60656,None,Consent provided,Web,06/09/23,Closed with explanation,Yes,N/A,7095220
04/30/23,"Payday loan, title loan, or personal loan",Installment loan,Incorrect information on your report,Account information incorrect,"I opened a dispute against Affirm, regarding the violation of my federally protected consumer protected rights and the requirements of the FCRA, that the company failed to comply with. 

As per the company 's own arbitration agreement, in instances where a dispute arises, this must be handled through binding arbitration, the company did not do such a thing. 

As per the company 's own terms and conditions, they will not sell my information to any third parties, which they did when they sold my information to the various consumer reporting agencies, without my written consent. I did not receive the Gramm Leach Bliley Act disclosure, as necessary by Federal Law.",None,"Affirm Holdings, Inc",PA,XXXXX,None,Consent provided,Web,04/30/23,Closed with explanation,Yes,N/A,6911116
07/11/23,"Payday loan, title loan, or personal loan",Personal line of credit,Problem when making payments,None,"Hi my identity was stolen recently and the thief used my Zip.co account to make over {$600.00} in unauthorized purchases and the company is currently charging me recurring payments for these fraudulent purchases with the next payment due on XX/XX/2023. 

Zip.co has reference numbers for each transaction the thief made using my identity. 

The reference number for the first line of credit is XXXX, the amount is for {$210.00} and the store this credit was used in was XXXX Store XXXX XXXX on XXXX XXXX XXXX in XXXX XXXX VA XXXX 

The reference number for the second line of credit is XXXX, the amount is for {$220.00} and the store it was used in was XXXX XXXX XXXX XXXX XXXX also on XXXX XXXX XXXX in XXXX. 

The reference number for the third line of credit is XXXX, the amount was for {$200.00}, and was an online purchase on a website Zip.co describes as "" XXXX XXXX 

This complaint is related to the one I filed against XXXX on XX/XX/XXXX, ID # XXXX. My XXXX credit card was the card on file for Zip.co. 

I've also filed a police report in XXXX XXXX VA where the fraudulent purchases occured. You can follow up with XXXX XXXX XXXX at XXXX regarding report # XXXX",None,Zip Co US Inc.,VA,230XX,None,Consent provided,Web,08/08/23,Closed with monetary relief,Yes,N/A,7236646
07/07/23,"Payday loan, title loan, or personal loan",Installment loan,Charged fees or interest you didn't expect,None,Personal loan taken from Island Finance on XX/XX/XXXX with maturity date XX/XX/XXXX. In XX/XX/XXXX after hurricane Maria while doing my payment over the phone the representative offered to skip up to 4 months of payments and extend the maturity date in the same proportion. I skipped 3 months and accepted to pay until XX/XX/XXXX. While doing my last payment they informed that the payoff is over {$2000.00} because of interests from the extension. The company is informing that if the total amount is not paid by XX/XX/XXXX then it is going to be reported to the credit bureau. They indicate that interest is calculated daily ( similar to revolving accounts ). The bank failed to disclose interest calculation. The company sold loans with grace period of 10 days but charge additional interests during that period in addition to the late fees. The bank failed to disclose the calculation in a monthly basis and waited 8 years to disclose the accumulated interests. I requested payment history several times and at this moment no response.,None,Island Finance Puerto Rico,TX,78258,None,Consent provided,Web,07/07/23,Closed with explanation,Yes,N/A,7219105
04/14/23,"Payday loan, title loan, or personal loan",Installment loan,Credit monitoring or identity theft protection services,Billing dispute for services,"On XXXX XXXX, 2023, I sent a notarized affidavit to Republic Finance , LLC citing several consumer law violations that I found regarding their business practices and personal loan services. These violations include false representation of the character and amount of debt ( 15 U.S. Code 1692 ( E ) ( 2 ) ( A ) ) ) and billing errors ( 15 U.S. Code 1666a ) ). I am aware that according to 15 U.S. Code 1692 that where applicable, and falsely billed amounts and debts shall be applied in accordance with my directions. Based on consumer law, I am legally entitled to request remedy for any amounts that I believe were erroneously billed. Republic Finance , LLC responded to my affidavit of consumer violations with a non-notarized letter created on XX/XX/2023 that does not prove validation of debt and neither rebuts or refutes my affidavit with an affidavit in return. I am aware that until Republic Finance , LLC rebuts my affidavit with a corresponding affidavit, that my belief that my consumer laws were violated stand undisputed and that without official rebuttal via notarized affidavit, they have in fact defaulted.",None,"RFNA, LP",GA,30294,None,Consent provided,Web,04/14/23,Closed with explanation,Yes,N/A,6834068
08/06/23,"Payday loan, title loan, or personal loan",Personal line of credit,Getting a line of credit,None,Upstart declined my credit application citing credit score when my score is better than the average consumer.,None,"Upstart Holdings, Inc.",NY,10036,None,Consent provided,Web,08/06/23,Closed with explanation,Yes,N/A,7359580
01/30/23,"Payday loan, title loan, or personal loan",Installment loan,Problem with the payoff process at the end of the loan,None,"I had Tesla install solar panels on my house. When they installed the panels I financed a loan directly through Tesla for 50 % and put 50 % down. 

I have decided to sell my house so I need to payoff the loan and get the XXXX removed from my house. 

On XX/XX/XXXX Tesla sent my a pay off quote and on XX/XX/XXXX I wired {$15000.00} as required by the payoff quote. 

Since wiring the money to Tesla they won't update my account showing I paid and they will not even say they received the money. Tesla won't acknowledge that I paid and are still charging me the month payment amount. 

I call Tesla nearly daily and they say it is processing. When I first for the pay off quote they said it would take 5 business days to process, not 60+ days. 

This is preventing me from sell my house and as of now it just looks like Tesla stole {$15000.00} from me. 

I have already had a buyer walk away because I couldn't prove the loan was paid off.",None,"Tesla, Inc.",AZ,85641,Servicemember,Consent provided,Web,01/30/23,Closed with explanation,Yes,N/A,6501288
04/28/23,"Payday loan, title loan, or personal loan",Installment loan,Problem when making payments,None,I have a problem with my credit report saying I'm {$360.00} past due when in fact I just paid {$480.00} to SST and am caught up with my past due account. I had reported a hardship to the company and it was ignored. My credit report is false and has taken my credit down XXXX points because of the inaccurate reporting.,None,Alorica Inc.,WI,530XX,Older American,Consent provided,Web,06/01/23,Closed with explanation,Yes,N/A,6902254
04/26/23,"Payday loan, title loan, or personal loan",Installment loan,Problem with the payoff process at the end of the loan,None,"Hi, I used a Self Credit Builder Loan to build my credit report. The Self.Inc company claimed that the product was a bank-held Certificate of Deposit and I'll get back money after pay-off the loan. I opened a Self Builder Account on XX/XX/XXXX and then paid-off the loan on XX/XX/XXXX. According to Self company terms, They'll send back my loan totaling {$1600.00} to my bank account but since then they blocked my account and never pay me back. I've been trying to contact them for two months and they are just going around but never intend to pay back my money.",None,Self Financial Inc.,TX,77072,None,Consent provided,Web,04/26/23,Closed with explanation,Yes,N/A,6890429
03/14/23,"Payday loan, title loan, or personal loan",Installment loan,Getting the loan,None,"I Spoke to a customer service rep with Discover personal Loans at XXXX XXXX on XX/XX/23 and I was notified that I was pre approved for a personal loan in the amount of {$25000.00}. I asked the customer service rep to confirm a number of times before proceeding with the loan if my credit was pre approved, as I did not want to risk being denied and my credit being adversely affected. I was assured by the customer service rep a number of times that unless in the unlikely event that there were any changes to my credit between the soft pull and the subsequent hard pull, that my credit was pre approved. In addition, I was asked what documents I would need to provide in the verification process for the final loan disbursement, and I was told none. I was led to believe that the hard pull was only a formality. I agreed to proceed only to be notified that there is a long list of documents needed in order to proceed. I complied with all requests and was later notified that my request had been denied due to the fact that they were "" UNABLE TO VERIFY CREDIT/APPLICATION INFORMATION ''. In addition an a later phone call with a XXXX named XXXX at approximately XXXX XXXX, I was notified that I had never been pre approved, I had only been given a hypothetical rate should I have been later approved. 

The main issue of my complaint is that Discover personal loans in their Deceptive marketing, as well as over the phone from their customer service XXXX led me to believe that I was pre-approved so that I would apply for a loan. I had no prior relationship with Discover, I therefore would not have applied blindly were it not for them assuring me that I was pre-approved. It is unjust that my credit score be negatively impacted by a hard pull that was conducted over false pretenses.",None,DISCOVER BANK,NJ,077XX,None,Consent provided,Web,03/14/23,Closed with explanation,Yes,N/A,6693694
04/27/23,"Payday loan, title loan, or personal loan",Personal line of credit,Problem when making payments,None,"I owe a payment to Grain that was due on XX/XX/23. I began trying to make this payment XXXX. I was not able to log into my account. I tried to reset my password and the link is not working. I tried to call the number listed on my statement and it is totally automated. I emailed support and did not receive an answer for several days I went on XXXX and left a message via messenger. I received a response. That support would be in touch with me. The support specialist that I spoke with via email was a XXXX XXXX I have told him repeatedly that the links he is sending me is not working. I have copy and pasted the link. Tried in a different browser and also tried to login using a different device. All have failed. I am trying to make my payment and have been trying now unsuccessfully for seven days, I have asked the support specialist if I could change to automatic draft and they do not answer this question I ask for an address and just received it today. However, I was told that I should not be using the address because my credit contract states that they take it directly from the bank, I can not do this because I can not login to make the payment or to even set up an automatic pay. I really need help resolving this issue. I have screenshots of everything all conversations and links. Were have tried multiple times daily to login.",None,"Grain Technology, Inc.",SC,296XX,None,Consent provided,Web,04/27/23,Closed with explanation,Yes,N/A,6896264
04/27/23,"Payday loan, title loan, or personal loan",Personal line of credit,Problem when making payments,None,Their website and statements do not tell me : 1 ) How my payment was applied 2 ) Interest Accrued 3 ) Interest Accrued 4 ) Fees I also called their customer service line at XXXX and they were not able to tell me how my payment was applied.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"Skopos Financial, LLC",GA,30096,None,Consent provided,Web,06/02/23,Closed with explanation,Yes,N/A,6896682
08/24/23,"Payday loan, title loan, or personal loan",Installment loan,Problem with the payoff process at the end of the loan,None,"I assume an installment loan with Greensky LLC. program. The loan had a per Quiter  installment history payment plan. I have documents, contracts, and payment plans. 
That I agreed to but I am disputing the final payoff and the amount of overpayment They have charged me. To close out the loan, I sent them an additional {$2000.00}. to meet their demands. But My mortgage company sent them a final payoff amount of {$48000.00}. The total loan amount was XXXX. 
The loan was approved for XXXX. But I only needed XXXX for the dental implants. But before I used any of the loans. There was an introductory agreement that I pay XXXX for the first 6 months. The first 6 months was based on a XXXX loan. After that was paid, they would recalculate the remaining balance. Here is the below line : XXXX. plus XXXX plus XXXX The loan was only XXXX.",None,GOLDMAN SACHS BANK USA,NV,XXXXX,"Older American, Servicemember",Consent provided,Web,08/24/23,Closed with explanation,Yes,N/A,7452314
02/24/23,"Payday loan, title loan, or personal loan",Installment loan,Problem when making payments,None,"On XX/XX/2023, I obtained a personal loan from CItibank, where I have a credit card. One of the features of obtaining this loan that appealed to me and factored into my decision to commit to the loan was the ability to access my loan account information and make payments online. After I committed to this loan, I received an email saying that my loan account information would be visible on my "" account dashboard '' when I log into my credit card online account. This information is not available in my online account dashboard for any account. 

I still do not have any type of online access to my account information or any ways to make payments online. I called Citibank on XX/XX/2023. The customer service agent said that Citibank was having problems setting up online access to accounts that have 11-digit account numbers, and my account had 11 digits. The agent told me this problem was ongoing since XXXX of this same year, but that he hoped and expected that the situation would be resolved within 24-48 hours.

After 48 hours, I called CItibank again on XX/XX/2023 and was told that this is an ongoing situation and they have no estimate of how long it might take to fix.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",IL,60624,None,Consent provided,Web,02/24/23,Closed with explanation,Yes,N/A,6605822
04/29/23,"Payday loan, title loan, or personal loan",Title loan,Vehicle was repossessed or sold the vehicle,None,I got a title loan in 2020 for XXXX dollars. I paid that off more than once. But they stuck me with almost XXXX in interest. Which caused me to lose my car. But the loan was payed off and then some. But they kept hiking me up on the interest. I feel like I deserve to get some of the XXXX $ back that I paid for on a XXXX $ loan.,None,TMX Finance LLC,TN,37076,None,Consent provided,Web,04/29/23,Closed with explanation,Yes,N/A,6908547
08/09/23,"Payday loan, title loan, or personal loan",Payday loan,Can't stop withdrawals from your bank account,None,"In XX/XX/2023 I borrowed {$250.00} from the lender to which {$84.00} was to be debited from my checking account in 4 installments beginning in XXXX to repay the loan and interest. 

An additional {$84.00} was debited from my checking account in XXXX. 

Upon learning about the XXXX withdrawl, I contacted the lender about this. I was informed by the lender I agreed to 12 monthly payments. 

There is no way I would ever agree to a ridiculous deal like this. 

I could use your help, please",None,"LDF Holdings, LLC",ME,042XX,"Older American, Servicemember",Consent provided,Web,08/09/23,Closed with explanation,Yes,N/A,7372618
07/22/23,"Payday loan, title loan, or personal loan",Personal line of credit,Charged fees or interest you didn't expect,None,"synchrony bank is the owner of care credit, car credit and XXXX when I make a payment and want to cancel it and change the amount but still have the amount due on time, it won't allow me to. I have to call the card and if I dont ' have time i have to find time. 
also there website is not secure and shakes so when making payments its difficult to click on to the correct date as it moves.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,SYNCHRONY FINANCIAL,GA,XXXXX,Older American,Consent provided,Web,07/22/23,Closed with explanation,Yes,N/A,7291321
04/25/23,"Payday loan, title loan, or personal loan",Installment loan,Problem with additional add-on products or services,None,"I have have purchased items using the same phone number with this company for many years, recently I click on link on my phone and my phone was hacked and assessed remotely, I turned the phone off and bought a new phone, I reported to Affirm that that phone and number had been breached and to not accept any attempted purchases using that number, I asked them to either put an hold on my account until they can verify me and my new number or block that number, I did everything they asked me to do to change my phone number on my account, I sent in picture of my driver 's license front and back and I sent a real time selfie, I did this procedure 3x and go a confirmation message that it may take a while to verify the info, to my knowledge they still have that old hacked number on my account and will not acknowledge my new number whenever I called they are still asking for the old number which should not be on my account anymore and in fact may be disconnected by now, because I did not pay to continue the service with that old number. Affirm is doing nothing to secure my account or the personal and financial information the hackers can get including my social security number and address by using that phone number. They have in essence locked me out my own account or are possible trying to make me turn on and use a hacked phone just to gain access to my account. I have called them today and verified myself and they rep still did not help me was still asking for the old hacked number even though I told them that it has been compromised. I am afraid that they are leaving the door open for an hacker to steal my identity they are making no effort to secure my account. I would like old number taken off my account and my information to be secured by this company whom I entrusted with my personal information and I would like them to put my new number on my account, I have done everything they asked to verify myself and they still won't secure my account and are acting very non chalant about the whole situation, I can not get a manager to call me, they do not return phone calls, they do not follow a situation through until an solution of reached. They do not care about their customers.",None,"Affirm Holdings, Inc",TX,75063,None,Consent provided,Web,04/25/23,Closed with explanation,Yes,N/A,6889133
06/18/23,"Payday loan, title loan, or personal loan",Payday loan,Charged fees or interest you didn't expect,None,"I pulled out a loan of {$1000.00} on XX/XX/2023, received the money, and paid back the {$1000.00}. now I am being charged over 400 % interest and am expected to pay almost {$5600.00} that I do not have. I already paid what I borrowed and I can not cover these insermountable interest fees.",None,"Tribal Lending Enterprise, Inc.",CO,80504,None,Consent provided,Web,06/18/23,Closed with explanation,Yes,N/A,7134344
03/10/23,"Payday loan, title loan, or personal loan",Title loan,Charged fees or interest you didn't expect,None,"When I took out the loan I first had asked for {$1500.00} I was there with someone and asked if they could co sign so they would be responsible she said no we can only put you in the loan I had to pay to get the loan and it was not credited to my account when I was presented the document I asked if I could take them and read them and she loan officer preparing the agreement on a computer with the screen facing the loan officer. 
The loan officer had Me accept the agreement on the computer, but the loan officer did not turnover control of the computer to me so I could see the entirety of the agreement i was accepting. So she summarized it for me saying I will receive pages through my e mail she said she will send them to me and I have 3 days to read them and give back the money I never received the paper work to my email or anything I dont know what I agreed to. I then got calls every day 5 times a day to extend my loan to give me time to re pay i had to pay a fee each time and I was told it would go against my loan repayment and when I went to pay the amount due on du date she says non of the payment goes towards my loan its only to give me more time to pay which that was not told yo me in the beginning I was told to pay that amount and it would be tapping my loan I still dont have paper work or anything to explain my fees and when I will be able to pay my loan off by making these payments the payments are higher than my car note and my vehicle isnt even worth what I was able to borrow.I ended up maxing out and still no time to review anything titlemax intentional misconduct I have given them over {$500.00} and nothing is towards my loan I dont understand and cant pay when I went to look for dates and document they closed My title max account and nothing is linked to it and they wont let me back in my naccount saying I need to make a payment first",None,TMX Finance LLC,GA,30344,None,Consent provided,Web,03/10/23,Closed with explanation,Yes,N/A,6677287
02/28/23,"Payday loan, title loan, or personal loan",Title loan,Vehicle was damaged or destroyed the vehicle,None,"My Hyundai XXXX financed by Hyundai Motor Finance was stolen ( due to the wave of Kia/Hyundai break-ins that have occurred in XXXX  ) on XXXX. I promptly let my insurance companyXXXX XXXX, and HMF know about the theft that day and started a claim. On XXXX I accepted a total loss settlement from XXXX  due to the car being recovered and found beyond repair. XXXX then reached out to HMF for a payoff amount for the vehicle and was told {$9600.00}. On XXXX XXXX sent HMF a check for {$9600.00} which they accepted and cashed. Since XXXX HMF has claimed that they need additional money from me with no explanation as to why. XXXX closed the claim after the check was sent and I thought the matter was handled. I now have a balance of {$11000.00} on my credit file that is 60 days past due from HMF for the balance of a totaled vehicle that has been taken care of by my insurance company. With how poorly run HMF is and how they settled for {$19.00} million in fines for false credit reporting back on XX/XX/ I find it really hard to believe anything they are telling me and refuse to be harassed anymore. I want them to close my file for the totaled vehicle ( Just like my insurance company XXXX did on XXXX XXXX and remove the balance from my Credit Report so I can move on in peace.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,HYUNDAI CAPITAL AMERICA,MN,55408,Servicemember,Consent provided,Web,02/28/23,Closed with explanation,Yes,N/A,6630212
02/27/23,"Payday loan, title loan, or personal loan",Payday loan,Loan payment wasn't credited to your account,None,I never applied for a pay day loan this loan was opened XX/XX/2022 .My formal spouse had used my information to opened a pay day loan and the only reason I found out was through my credit account I dont want my credit affected by something I did not do,None,Consumer Adjustment Company Incorporated,CA,93454,None,Consent provided,Web,02/27/23,Closed with explanation,Yes,N/A,6624257
04/11/23,"Payday loan, title loan, or personal loan",Installment loan,Problem when making payments,None,"My emails that were sent to the company : My payments- XXXX every two weeks ( this included fee services that did not provided services when reaching out to assistance ) 1. Resubmitting my email below from last week. Please could someone get in contact with me about my concern with my next two payments please. 

Thank you, XXXX XXXX XXXX : XXXX Home : ( XXXX ) XXXX Begin forwarded message : Date : XX/XX/XXXX at XXXX XXXX XXXX To : XXXX Subject : My OMF NextPayments Hello, I called to today to reach XXXX XXXX who was the agent that financed my loan with OMF but there was no answer. 

I have an unexpected expense that came up in my household and I would like to know if I could possibly either skip or move my next two payments to the back of my loan, I know interest may still accrue but I have to pay for this expense to be fix asap. 

If someone one could reach out to me as soon as you all available to confirm if this could be a possibility. 

XX/XX/XXXX : XXXX XXXX XXXX I gave you a call as instructed yesterday to move my next two payments due to needing to get my truck out the shop. I also called today. 

I will not have this payment for the next two payments starting this Friday XX/XX/XXXX and XXXX. 

Could someone please make sure to make these changes on my account as soon as possible so nothing would be withdrawn from my bank account for OMF. 

Begin forwarded message : Date : XX/XX/XXXX at XXXX XXXX XXXX Subject : XXXX : My OMF NextPayments Hello, Resubmitting my email below from last week. Please could someone get in contact with me about my concern with my next two payments please. 

I also called on the following days : XXXX I spoke to XXXX about my situation and concerns about not being able to make my payment that was coming up next due to my truck being in an accident and I was told to give her a call back on XX/XX/XXXX which I did to make some arrangements. 

XXXX I called One Main FinanciaXXXX 3 times no answer and I left voice messages. 
XXXX I spoke with an agent from One Main financial and again I let them know my situation and being a home owner and running into a hardship and they ran my credit again to see if I can get a lower payment to try be in a better situation and I asked to take away the services that was offered, special the auto/home care because they were no help. There was no assistance offer or resolution to my situation. 

XXXX One Main has been calling and sending countless of mail. I am at my wits end and they keep reporting to the credit bureaus each time on a missed payment. 

I am not sure what my options are with trying to get out a financial aside from a bankruptcy which is not something I want to go through.",None,OneMain Finance Corporation,MD,206XX,None,Consent provided,Web,04/11/23,Closed with explanation,Yes,N/A,6826648
